,P39,NOMBRE,embedding,Cluster,x,y,Nombre
1,"pues mira, bueno si son son son varias cosas no obviamente no es una sola mi papá y la familia de mi padre viene de una posición elevada educada desde por más de un siglo desde 1800 desde mis abuelos bueno han tenido una posición privilegiada pero por el lado de mi mamá han sido fueron campesinos campesinos normales que cultivaban y sembraban café y sembraban frijol y tengo muchos recuerdos de mi abuelo llegando con sus bultos y nos ponía en la finca a desgranar el café y entonces tengo como esas dos es como esas dos imágenes que me han formado eso por un lado por otro lado tuve la fortuna de de estudiar en primero hice el colegio en un colegio privado pero las carreras la hice en una universidad pública entonces he tenido las dos también esas dos visiones y lo otro es posterior a eso durante más de 20 años estuve con un grupo una capaz un programa de capacitación que siempre se enfocaba en el en el emprendimiento en la libre empresa en el tú puedes en el que tienes que mejor aprender crecer y cambiar en que siempre vas a tener dificultades pero tú tienes todas las herramientas para salir adelante entonces por más de 20 años estuve conectada con un programa de capacitación de estos leyendo libros sobre crecimiento personal sobre el trato a las personas sobre cómo ganar amigos e influir sobre las personas desde el Carnegie que no es influir para para aprovecharse de ellas sino para hacer empatía con las personas entonces es todo digamos qué que ha construido me ha construido en los años igual trabaje para una empresa Y después me independicé y tengo un pequeño emprendimiento, entonces he tenido como, como bueno, no ha sido una sola línea, una sola cosa, sino que es esta sumatoria de aspectos que, pues que yo creo que me han formado hasta la persona que soy en este momento.

Bueno, y tengo que decir algo más, y es que en una etapa de la vida también tuve un acercamiento muy grande con la iglesia cristiana, lo cual también me ayudó mucho a entender, a entender mi entorno y a entender que yo no soy una víctima, sino que tengo que, sino que tengo a un Dios que también me está ayudando. Y como efectivamente. Efectivamente, pude verlo y sentirlo. Entonces, allí eso no se puede quedar por fuera porque, pues, también soy una persona creyente.
",Michael Patton ,"[ 0.04994407 -0.01659326  0.02341676 ... -0.00036178  0.00974786
 -0.00944118]",2,-285.6792,-55.368958,Michael Patton 
2,"En estos gobiernos que has mencionado, ¿cómo me he sentido yo como ciudadana colombiana? A veces me he sentido desilusionada. Cuando empezó el gobierno de Álvaro Uribe Vélez, me sentí desilusionada. Me sentí optimista, con esperanza, porque tenía una cercanía a ese efecto de violencia que estaba existiendo en las carreteras, que no se podía salir de la ciudad, que había mucha inseguridad, estaban las pescas milagrosas. Entonces, ante esa impotencia de ver que mi papá es conductor de tractomula...Y que estaba constantemente arriesgándose a encontrarse a la guerrilla. Lo llegó a vivir, encontró la guerrilla en el camino. No fue, gracias a Dios, secuestrado. Ni le quemaron la tractomula, como hicieron con compañeros de él. Él siempre decía que lo protegían los ángeles. Y cuando él llegaba, habían acabado de quemar un vehículo. Cuando él se iba, había acabado de llegar. A la guerrilla, siempre, gracias a Dios, sucedía eso. Sin embargo, sí le tocó un robo, porque él tenía una carga de fríjol, y es muy apetecida, y unas personas lo secuestraron.
Y al final, hubo uno que era más amable y noble que el otro, y lo pudo soltar, pero lo golpearon. Al golpearlo, las gafas se le fueron lejos. Él no podía ver sin gafas en la oscuridad.
O sea, todo eso que te estoy contando, que podría contarte más, es muy emotivo para uno, conocer que su papá vive eso. Conocer que te digan, o sea, se hicieron investigaciones.

Pues está uno muy joven, ¿sí? Mi hija mayor tendría un añito, yo tendría 24 años, 22 años.
Pero se desilusiona uno de que cuando dice la empresa no se investigó, digo más porque ya de ahí se encontró que había gente de la policía involucrada. Entonces, uno se desilusiona de eso. Sale el señor Uribe sosteniendo que había que colocar mano firme. Uno dice, claro, se necesita. Aquí no hay alguien que obedezca. Entonces, también teníamos la finca hacia Tunía, en el Cauca, de los abuelos de mis hijos mayores. Entonces, hubo un tiempo donde no podíamos ir allá a la finca el fin de semana o había que preguntarle a una persona que vive allá que cuidase esas casas donde está la finca, que cómo estaba el ambiente, que si se podía viajar o no se podía viajar. Esas cosas son desilusionadoras y, claro, llega esta mano firme a poner orden en ese sentido, pues, uno de alguna manera aplaude y siente que hay una esperanza y que, bueno. Con el paso del tiempo, empieza a haber también información de que hay gente inocente que está allí. O sea, el tema de los falsos positivos.

Entonces, uno ya tiene dudas sobre lo que está sucediendo, quién tiene la razón, quién tiene la verdad. No es fácil. Hay otra experiencia que es saliendo hacia el pueblo San Antonio, después de la Potrerito, hacia allá arriba. Esa otra zona donde, entonces, hay presencia del otro grupo, del otro lado del grupo. No la creímos. No es una guerrilla, sino otros. Entonces, lo mismo. Son personas que se toman la justicia por su cuenta. Entonces, está en el ambiente que es que el señor Uribe apoya a este tipo de personas,más allá de lo que debería ser el ejército en nuestro país. O sea, hay una cantidad de información o se podría decir desinformación, y pues uno está muy joven también para poder dedicarse a escuchar y a tener claro lo que sucede. Está uno todavía en la supervivencia, yendo a estudiar a la universidad,
teniendo una jornada de trabajo todo el día, teniendo unos días pequeños. Entonces, uno trata de hacerlo mejor, pero siempre pensando, ojalá y el país fuera mejor administrado. ¿Sí? Y ojalá podamos tener la verdad de todo eso que se dice. Porque entonces, cuando estaba uno creciendo,antes de Uribe,uno escuchaba que la guerrilla, el MD-19, todo eso que venía de atrás, simplemente tuvo una justificación de un idealismo, de unas causas bonitas. Pero, desafortunadamente,desafortunadamente, ya luego se fue demostrando que esas causas sociales y razones sociales habían sido en unos años anteriores, sesentas, cincuentas, pero que ya luego, poco a poco, al mezclarse con el narcotráfico, se vuelve ya una causa distinta, por dinero, por temas económicos, y ahí se da la, se da toda esta presión, de información, de ver a quién se le responsabiliza, si el presidente que tenemos apoya o no,a quién apoya. En la época de el expresidente Santos,y en el proceso de paz, y pues han bombardeado mucho en los medios de comunicación, que la mejor opción era esa mano firme, pero entonces, esa misma, esa misma mano firme que nos dio tranquilidad para que mi papá volviera a conducir en las carreteras sin temor a que se iba a encontrar un secuestrador, ya sea de guerrilla, de paramilitar, o lo que fuera. Ya esa, ya se aterriza desde un punto de vista de, sí, estaban defendiendo, pero estaban también lastimando y o matando personas inocentes. Entonces, yo vi el proceso de paz, yo no lo vi, la verdad, con una esperanza. Yo no sentí esperanza en el proceso de paz. Soy partidaria, definitivamente, de que requerimos hacer la paz. Alcancé a leer algo del, del, del, del texto del Acuerdo de Paz, veía lo que se cedía, y no es fácil, no es fácil leerlo, al menos en esa etapa de mi vida. Si hoy me lo presentaran y me lo mostraran, pues, definitivamente es diferente, eh, Vanessa. Uno dice sí, hay que apostarle a, a la paz. Pero cuando uno ve como que ese proceso estamos abriendo tantas puertas y, y realmente es como muchos, lo podían ver como premiar, premiar a, a unas personas que se habían desviado de, de, de ser solidarios en una nación, pues, no tenía como, yo no tenía como esperanza de que ese proceso de paz diera resultado. Podía pensar ya con toda la información que uno había visto antes, que había algún fondo, había algún fondo no sincero, alguna manipulación de información que no fuera claro,eh, no, no,no me sentía cómoda con el presidente Santos, eh, uno en la, no sé si se llama, Vanessa, fisionomía, fisonomía de la persona, el rostro, los gestos, yo vi a un, había un señor que le asesoraba en campaña de esas personas famosas que le asesoran en campañas políticas para, o sea, asesoran en una forma, para mí, agresiva, ¿sí? Entonces, en una entrevista, yo, yo prefería a Antanas Mocos, por ejemplo, frente a Manuel, a Juan Manuel Santos, Juan Manuel Santos, eh, tenía a ese asesor de, de campaña para manejar toda la información y veía como, eh, él minimizaba a sus oponentes, Profesor Mocos, ¿sí? O sea, como tratando de restarle, eh, un estatus, o sea, hubo información sobre eso porque eran, eran campañas manipuladas, no me sentí cómoda nunca de, de que Juan Manuel Santos fuera presidente porque la idea, y como tú lo puedes ver, en especial uno que tiene, está tanto en el sector privado, que no es que sea, pues, la, la paz del mundo en un sector privado, pero tú estás mostrando competencias frente a otra persona. No estás mostrando cómo hundir al otro para que yo pueda resaltar, resaltar. Y en la campaña de Juan Manuel Santos vi eso. Entonces, si te puedo decir, fuera del proceso de paz no tengo nada más en la mente porque a mí me quedó que él se posicionó allá en una extensión de lo que el señor Uribe quería que siguiera en esa misma línea, que realmente ya puesto allí no siguió todo lo que posiblemente el señor Uribe cre, quería que hubiera hecho y, eh, no, no, no me sentí cómoda con la forma como se dirigió a ese gobierno. Me ha parecido más bien en noticias recientes, no recuerdo cómo se llama Vanessa, la no sé qué, la verdad, o sea, donde muestran, sacaron, la comisión de la verdad, es eso. Allí en algún momento escuché unas entrevistas de Juan Manuel Santos, eh, vi que estuvo por allá en Santa Mata con los chamanes, y yo dije, bueno, con el mismo crecimiento personal que yo he estado teniendo donde está uno sacando lo mejor de uno y la luz de uno y soltando programaciones mentales negativas que traía uno, ya sea de su infancia, de sus ancestros, lo que fuera, yo dije, ah, chévere, Juan Manuel Santos está en esa, también en esa toma de conciencia, en esa, qué bueno. Pero, y vi en ese, en esa comisión de la verdad que, que ya ahí se sinceraba más sobre lo que era el pensamiento de él y lo que era el pensamiento de Álvaro Uribe. Eh, pero todo eso para mí es como, qué pesar, que ese país con tantas personas capaces, con tantas cosas bonitas, no pueda eh, ser mejor administrado y tener que ver todos esos programas de lucha de poderes. Con Iván Duque, pues, total.

Eh, voté por su contrario, que en ese momento fue Petro. Eh, no quería para nada eh, Iván Duque, porque se notaba que era la manipulación, era para que existiera la continuidad de Álvaro Uribe Vélez. Sé que eh, hay mucha información sobre lo que hizo y no hizo Álvaro Uribe. Y al final, si han hecho cosas no muy buenas, pues quieren seguir eh, protegiéndose con los digamos con los sucesores de ellos, y para mí Iván Duque era eso, era un sucesor de Álvaro Uribe. No lo vi preparado, busqué información de él y dije, ¿de dónde salió? Muy estratégico,una cara bonita,sí, un tipo bien presentado, eh, todo eso que vende en una sociedad con cierto nivel de ignorancia y cierto nivel de desinterés por ver hacia dónde va su país. Eh, los medios de comunicación, pues, manipulan mucho, le hacen fuerza a la noticia que conviene a grupos políticos y económicos, distorsionan la información. En el estallido social, pues, muy inconforme de de que Iván Duque no viniera a apoyar la ciudad, a un presidente tan joven no viniera a participar en mesas de concertación con los jóvenes de Cali o de Medellín o de Bogotá. Se le pedía aquí, yo estaba en ese momento viviendo al lado del cementerio, estuve al lado de donde empezó el estallido en el CAI que quemaron, no estaban haciendo daño ese día, estaban los que estaban queriendo manifestarse, habían ido allá, pues sí, obstaculizaron las calles, porque pues desafortunadamente, y no es por justificar, yo no justifico los daños a nuestros recursos, pero estaban justificando las, eh, estaban, perdón, bloqueando las calles, levantando la mano, sí, y entre más se demoraban en ir a mirar, como, ¿cómo es?, todo acto de, toda agresividad es un llamado de auxilio, entonces, y aún así no estaban, no estaban realmente en manifestación violenta, vi pasar gente como con ese folclor
colombiano, eh, ahí al lado del CAI pues estaban los policías, estaban los manifestantes, habían vecinos de la unidad donde vivía organizando y ayudando para hacer el sancocho, o sea, había, Vanessa, una fraternidad que no se vio en las noticias, y que yo vi, ¿sí?, yo misma fui, salí un momento de Janita, en, antes de la reja que me, que, que subiera ahí mirando, y fui hasta allá, hasta el CAI, miré, y yo, qué ambiente tan bonito, ¿sí?, pero en algún momento venían los policías, porque vuelvo y te digo, no hubo un, desde la parte política, desde la gente, una intención de mediar, de charlar, y venían, porque yo venía desde el carro, o sea, yo venía, mi mamá vive en Los Álamos, y yo iba para, al lado del cementerio metropolitano, voy en mi carro, vengo en el carro con Danita, y empiezo a ver gases lacrimógenos, pero, ¿por qué?, y eran calles vacías que ya iban a acercarse allí donde ellos habían tomado el, el, el tema del mío, la estación del mío, y los policías venían tirando gases lacrimógenos, así, a diestra y siniestra, y llega hasta, claro, yo dije, eso se va a poner feo, y me fui rápido por una avenida a salir allá, para poder entrar a mi unidad, porque sabía que por un lado estaba bloqueado, me tocaba ir por el otro lado, y llegué rapidito a encerrarme, y ya estaba todo, la, el olor, los gases, ya la gente se rebotó, toda esa armonía que estaba allí, cambió un momento a otro, y yo digo, en serio, esto no está en ninguna noticia, que venían unos policías tirando gases lacrimógenos, y que toda la gente que estábamos allí, a nosotros nos tocó cerrar ventanas, los ojos llorosos, o sea, fue bastante triste, desilusionador, y añorando siempre como, bueno, y dónde está el político, o sea, dónde está la autoridad, pero no la autoridad para castigar, estamos hablando de una ciudad donde ya en algún momento, escuché una entrevista de Armitage, y él decía, lloré, le decía al entrevistador, lloré de desilusión de ir a buscar ayuda, eso fue antes del estallido, sólo que te lo mencionó y ahora te lo amarro a lo del estallido, voy a donde los, a Copi, voy a a Fenalco, voy a los gremios para decir, mire, Cali es una olla caliente, y en algún momento va a estallar, él fue e implementó unos comedores comunitarios, y él decía, la mamá en las entrevistas que él hacía, en los barrios las mamás decían, mijo, no hay nada paracomer, va a traigar algo,pues el muchacho qué tiene que hacer, o conseguir un empleo, y si no puede lo roba, entonces élhizo fuerzacon los comedores comunitarios, porque el hambre hace que la gente pierda eso, eso de querer, hacer el bien, y son mamá cabezas de familia, son hijos que viven en eso, van creciendo, entonces él decía, él lloraba viendo eso, porque Armitage es muy sensible, él es exalcalde, y él decía, voy y pido ayuda a los empresarios, y que no, que busquen por otro lado, y por qué él hizo eso, porque él sabía que con los recursos públicos no bastaba, o sea, que era algo que había que hacer en red social, empresa, todos los que vivimos en Cali, sí, y pues, quiénes de alguna manera generan, o sea, podía existir algunas propuestas, yo en algún momento pensaba, bueno, pues incentivo, lo que sea, pero no, simplemente a él le cerraron las puertas, cuando a él le preguntaron por este tema del estallido, él decía eso, yo hice esa gestión, porque yo sabía que eso se estaba cocinando, en el oriente de Cali, en muchos sitios de Cali, entonces vi eso que te acabo de decir, que presencié, y qué tristeza que el presidente Duque en ese momento no pudo, reconozco que había un riesgo para la vida de él, lo puedo reconocer, pero hay mecanismos, hay mecanismos, porque es que cuando tú te montas en un en un cargo de esos públicos, es un cargo donde realmente o sea, hay que darla, hay que darla por esos que lo eligieron, que lo colocaron allá, y se pueden hacer cordones de seguridad para que no suceda nada, colocar los helicópteros que colocaron, pero para  tenerlo allí en la base aérea dos horas a medianoche y no hablar nada, y de pronto hablar algo con la gobernadora, con Jorge Iván Ospina y ya. Esas cosas de desilusionan porque uno tiene hijos.

Entonces, en el estallido social se salió a relucir todo eso, de que había un problema de fondo. Estaba yo agradecida de que mi hijo estuviera en ese momento en Estados Unidos, porque lo más probable es que mi muchacho se hubiera salido. Él le dejó de casa, así como tú conoces a mi hija, como tú puedes tener a tu hijo, pero él tiene conocidos, tenía conocidos allí en esa unidad y son personas humildes. Entonces, eso, no creas, eso llama al adolescente que está tratando de ver cómo se identifica, quién es él, y en ese momento, esa adolescencia que ahora ya tiene 20 años, ellos vienen mucho más  con mayor libertad para sentir esa empatía que de alguna manera cuando crecimos nosotros nos limitaban. No le habla a tal persona, vaya usted y dígale a mi hijo, cuidado le habla a tal persona. El valor de la persona por lo que es, así la persona tenga algo que no sea agradable. A uno le, uno no creció con esa libertad para sentir eso. Entonces, para mí pues fue como un momento difícil. Gracias a Dios pues todo se fue superando, pero si me preguntas cómo me he sentido en esos últimos gobiernos, esto es lo que te puedo decir que me he sentido y me he enfocado como lo has podido ver y lo voy a seguir haciendo desde que tenemos el WhatsApp. A mí me gusta compartir las cosas que se están haciendo que no muestran. Afortunadamente veo al espectador, veo al país, periódicos locales que están mostrando, porque uno ve las noticias nacionales y son dramas, son lo malo, ¿cómo se llama? Lo amarillo, la prensa amarilla. Yo trabajo en el sector empresarial como consultora, tengo la posibilidad de hablar y ver empresarios y los veo como salen adelante, los veo como los empleados, todos los que estamos allí, todos queremos lo mismo y eso se irradia a nivel mundial, todos queremos lo mismo, solo que tenemos diferentes idiomas y diferentes rasgos físicos, pero todos queremos vivir bien, tranquilos.

Entonces, yo digo, frente a eso,¿qué hago? Pues hago lo mejor que puedo dentro de mi hogar,
eso es mi mejor aporte, porque yo te puedo decir que cuando vi esos gobiernos, con base en esas emociones que yo sentía, pues yo te digo, yo quería ser presidente de Colombia. Un tío me dijo, mija, es muy sabio mi tío, entonces le compartí lo que quería y me dijo, mija, realmente no es el presidente, es el congreso, el que al final hace las leyes, miran qué apoyan o no del presidente, y yo, ah, ok, entonces hay que ser congresista, y esa imagen de los congresistas, entonces, ya luego desistí, porque veo las maquinarias, y dije, ¿cómo se arma un equipo?  Veo, un equipo, no, eso se llama partidos, ¿cómo se arma un partido? Que tantas firmas, y que eso y lo otro, y yo veo como esa burocracia, y yo en serio, y pues tengo mi hija menor de 12 años todavía, entonces a lo largo de esta última década aterricé y dije, no, yo no voy a ser presidente, ni me voy a poner allá en un cargo público, desde donde estoy voy a hacer lo que más puedo. Y, y entonces efectivamente trato de demostrar y hablar con optimismo, sin ocultar realidades, pero sí, si ya hay algo que no está sucediendo bien, si ya hay algunas empresas que no están cerradas, pero resulta que otras están abriendo, pues yo, ¿por qué voy a enfocarme en las que cerraron? A mí el otro día me llamó la atención, porque alguien me dijo, una amiga me dijo, Claudita, tú trabajas en una empresa de empleos temporales, de contratas, y yo, no, lo que pasa es que yo veo a mis clientes que necesitan empleados, y yo cuelgo los estados de mis clientes, o una colega me dice, Claud, por si conoce, y yo, ah, vení, yo cuelgo en el estado también lo que tú tienes, porque eso es una red, si yo me muevo en el mundo empresarial, hay un poco de gente que no tiene empleo, y yo sé que están necesitando, pues yo lo cuelgo, eh, hace rato vengo pensando que lo mejor que yo puedo hacer es dejarle a la sociedad tres hijos que, que aporten a la sociedad, entonces me enfoqué en ser mejor mamá, porque pues ¿cómo hago para arreglar el mundo si en mi hogar yo todavía tenía que aprender cosas? Eh, ser mejor hija, manejar mejor mis relaciones familiares, crecer como ser humano, para que ya de ahí lo demás se dé por añadidura, y que, y que si yo lo irradio, nosotros también están haciendo lo mejor, y cada uno haciendo lo mejor,  va uno contagiando, entonces eh, vamos a poder ser mejores a tomar más conciencia en cómo votamos, yo trabajo mucho con jóvenes en las empresas, tú me dices y tengo que parar, ¿no?, pero ya casi termino ahí mi participación en esta pregunta. Tranquila, tranquila. Gracias. Yo trabajo en el mundo empresarial con jóvenes, gente que está, puede ser desde un auxiliar y un aprendiz, hasta personas mayores que yo, personas contemporáneas, de todas las edades, tengo muy buena relación con los jóvenes,
",Dennis Kennedy ,"[ 0.0567486  -0.01533843  0.00679976 ...  0.01788085  0.02456068
  0.01043949]",0,271.5335,66.60571,Dennis Kennedy 
3,"En el caso de los dos gobiernos de Uribe. Pues. Me cogí a mí. Muy. Chamaquito. A mi mamá. Por ser docente. Y a mi papá por ser docentes. De colegios pública. Aquí en Santander de Jirichao. A ellos les congelaron el sueldo. O sea que. Prácticamente. Eh. Nos quejamos de Venezuela. Nos quejamos de. Argentina. De que la inflación. De que la plata no alcancen. Aquí. En Costa Rica. ¿De qué la inflación. De que la inflación. De que la inflación. La inflación. De que. de que la inflación, de que la plata no alcanza, pues nosotros vivimos con la misma plata durante todo ese gobierno de Uribe y eran 200 mil pesos, que para la época era menos de un mínimo, no un mínimo, yo ni me acuerdo. ",Wanda Gray ,"[-0.02004002 -0.03585173 -0.01418714 ...  0.00413374 -0.00158423
  0.00934125]",0,95.52462,-22.516237,Wanda Gray 
4,"Entonces, era un tanto diferente, era un tanto diferente, en ese tiempo limité por, había dos partidos políticos solamente, conservador y el liberal, no había más partidos. En ese tiempo participé por el partido liberal.",Anna Roy ,"[-0.00787408 -0.05434238 -0.00453121 ... -0.01946305  0.00567405
 -0.01939882]",1,-88.39664,-63.62621,Anna Roy 
6,"Lo que te decía antes. Siempre has escuchado exactamente lo mismo. Cuando pequeña decía, no, este presidente sí va a mejorar, este presidente sí. Hemos mejorado muchísimo desde... Tener el derecho nosotras al voto, que no lo teníamos ni en los 50. Hemos mejorado a través de la globalización. Hemos mejorado muchas cosas en Colombia que nuestros gobernantes han instalado en nuestro país. Han proveído, por ejemplo, una cosa que me ha sorprendido mucho es el hecho de que los... de que los... Políticos hayan permitido que todos los estudiantes de las escuelas públicas tengan acceso a una comida, a un desayuno, a una merienda. Esos son cosas que han cambiado. Pero siento que esas son cosas... O sea, que podrían ser mayores. Que podrían ser mayores. Pero la historia del país ha influido en mí. En mi manera de pensar a nivel político en que esto sigue siendo lo mismo a nivel general. Que siempre es... El que viene va a mejorar el que viene, sí, vamos a darle un voto de confianza. Pero cuando ya están en el gobierno, vemos que es lo mismo. Lo que te decía, hay amnesia política, entonces ha influido, pues, en cierta forma... Llegar en... Creer en estos... Creer en estos... Políticos y de repente ya llegar a un voto en blanco. Sí, o sea, que no veo que tenga como una identidad. Una identidad política. Ahora que tú no estás cuestionando porque no soy ni de derecha, no soy de izquierda, ni de centro. Intento apoyar partidos verdes. Intento apoyar gente que va a mejorar el medio ambiente. Pero no, no, creo que no, la tengo. Pero a través de la historia... Hemos visto demasiadas cosas, ¿no? Desde el Frente Nacional de Colombia, y después cada cuatro años. Luego el uribismo durante no sé cuántos años, y es como la perpetuidad de estos gobiernos, para mejorar a nivel individual y obtener ganancias para sí mismos o para sus familias, y no siempre va a ser a favor del pueblo. Va a ser como a favor mío, pero para el pueblo muy poco. Entonces creo que no tengo una identidad política, porque siempre he sido como muy justa, muy altruista. Entonces a veces me parece muy ilógico que tanto dinero se desperdicie.",Cielo,"[ 0.02543851 -0.03725324  0.00436631 ...  0.00566448  0.00301789
 -0.00166528]",0,-71.47654,300.4295,Cielo
7,"La época de guerrilla, de desplazados. Digamos que él vivió con esos miedos y siempre hablábamos de política con mi papá y hablábamos de eso, ¿no? Que él siempre hablaba sobre quién estaba detrás del comunismo, del izquierdismo.",Mace,"[ 0.03226238 -0.00387489  0.00372912 ...  0.02382752  0.00747768
 -0.04707198]",1,239.90337,-158.11954,Mace
8,"Ok, creo que algo que sí siento que ha influido es que... Me pareció muy tremendo todo el tema como de los acuerdos de paz y como la manera tan diferente como que se acercaron a la verdad y la comisión de la verdad. Eso me pareció como súper valioso como de la manera en que se pueden resolver los conflictos y que las personas a veces lo que necesitan después de un acto violento, es también como el reconocimiento, ¿cierto? De las personas que les violentaron, el poderse escuchar, el poderse ver, el poder encarar ese dolor, no solamente desde los medios punitivos tradicionales, ¿sí? Tengo una amiga que tiene unas ideas muy interesantes sobre que ella dice que las cárceles realmente no sirven para nada, sino que deben haber, es como unos procesos... más acercados como a la verdad y al reconocimiento, y es que no recuerdo cuál es el término, como unos términos punitivos, digamos, no, o sea, no punitivos, sino es el diálogo que me parece muy interesante, entonces siento que esa parte en particular de la historia del país me impacta mucho y me impacta también desde ahi.",Milena,"[ 0.01874869 -0.00931881  0.00169938 ...  0.03045551  0.01751581
  0.01135695]",0,-30.853003,110.17516,Milena
10,"Pues, realmente no es mucho el ejemplo que le dé a uno el país. Más que todo son como las... Son como las bases que se vivencian por familia y por querer hacer las cosas, porque realmente lo que siempre se vive es la decisión de que... Siempre tiene el concepto de que el político está robando, está haciendo, entonces, no... Y que cuando uno cree en la persona derecha que va a subir, no lo logra. De hecho, nosotros teníamos en Colombia la esperanza de Galán, y sentíamos que era como una persona idónea a lo que queríamos reflejar en el partido de derecha, y lo mataron, no pudo subir, porque... Entonces, ahí es donde uno dice, realmente, él sí era una persona derecha, y por eso no pudo llegar.",Valentina,"[ 0.01279988 -0.01720356 -0.00702208 ...  0.00678946 -0.00202466
  0.00453352]",0,-163.5474,-246.70984,Valentina
11,"Sí, porque venimos de, de tan, como te digo, yo sí he vivido la violencia como muy, como que la, todo esto de muy, muy cerca. Y sí, sí, sí ha marcado, ha marcado mucho, como te digo, porque lastimosamente hubo una época muy fea en Colombia, el de los paramilitares, que marcó un gobierno y por ende marcó ya todo, toda una generación, toda una sociedad, toda un, toda una manera de pensar y, y no todos son iguales, ¿sí? No, no todos los militares no son paramilitares y no son asesinos, no todos los de izquierda son guerrilleros. Entonces, lastimosamente, esta violencia que hemos vivido nos ha llevado a eso, a ponernos un sobrenombre, paramilitar o guerrillero, porque estamos divididos en dos bandos. ¿Sí?",Diana,"[ 0.02546115 -0.01376608  0.00012095 ...  0.03370455  0.01480158
 -0.00458869]",0,136.19421,221.83215,Diana
12,"Pues, como te digo, siempre antes, siempre se vivía, pues, ese régimen de la derecha y...Pues que no, no digo que no.",Melissa Haley,"[ 0.04244648  0.02306784 -0.0062592  ...  0.02126469  0.01784493
 -0.02024912]",3,-228.92519,142.81848,Melissa Haley
